title,year,domain,source_type,url,why_it_matters,key_finding
Gen-AI: Artificial Intelligence and the Future of Work,2024,labor,IMF SDN,https://www.imf.org/en/Publications/staff-discussion-notes/Issues/2024/01/14/Gen-AI-AI-and-the-Future-of-Work-542379,Macro framework for AI labor effects,Large productivity upside is plausible but uneven and policy-sensitive
Generative AI at Work,2023,labor,NBER,https://www.nber.org/papers/w31161,Canonical field evidence on worker assistance,Biggest gains among less-experienced workers in customer support setting
The Impact of Generative AI on Critical Thinking,2025,education,Microsoft Research,https://www.microsoft.com/en-us/research/publication/the-impact-of-generative-ai-on-critical-thinking/,Useful for skill-development caveats,Automation can shift effort away from deliberation without deliberate guardrails
Electricity 2024,2024,energy,IEA,https://www.iea.org/reports/electricity-2024,Power-system baseline before AI demand scenarios,Data-center load growth is real but sits inside broader electricity transitions
Energy and AI,2025,energy,IEA,https://www.iea.org/reports/energy-and-ai,Most cited cross-sector synthesis for AI power use,AI-specific demand scenarios vary materially with efficiency and policy assumptions
Productivity and Costs - Technical Information,2025,measurement,BLS,https://www.bls.gov/productivity/,Definition backbone for productivity claims,Output-per-hour measurement choices strongly shape interpretation
Monetary Policy Strategy and Longer-Run Goals,2025,macro,Federal Reserve,https://www.federalreserve.gov/monetarypolicy/monetary-policy-strategy-tools-and-communications-statement-on-longer-run-goals-monetary-policy-strategy-2025.htm,Primary source for dual-mandate wording,Maximum employment is broad-based and not one fixed unemployment number
What Economic Goals Does the Federal Reserve Seek,2025,macro,Federal Reserve FAQ,https://www.federalreserve.gov/faqs/what-economic-goals-does-federal-reserve-seek-to-achieve-through-monetary-policy.htm,Plain-language version of policy mandate,Dual mandate always balances employment and inflation stability
CRS R47523 CHIPS and Science Act Appropriations,2023,policy,CRS,https://www.congress.gov/crs-product/R47523,Appropriations map for CHIPS discussion,Funding buckets are specific and often mischaracterized in media summaries
CRS R47558 CHIPS and Science Act Overview,2023,policy,CRS,https://www.congress.gov/crs-product/R47558,Context for implementation debates,Industrial policy effects depend on execution speed and coordination
AI Index Report,2025,ai systems,Stanford HAI,https://aiindex.stanford.edu/report/,Yearly benchmark compendium for AI progress claims,Model performance rises fast but deployment risks and concentration persist
Frontier Models Are Capable of In-Context Learning,2023,ai systems,Anthropic,https://www.anthropic.com/research/in-context-learning-and-induction-heads,Technical capability context for productivity debates,Reasoning-like behavior can emerge without explicit supervised decomposition
GPTs are GPTs: Labor Market Impact Potential,2023,labor,OpenAI,https://arxiv.org/abs/2303.10130,Task-exposure map used in many policy memos,Exposure is broad but productivity outcomes depend on complementary investments
The Economics of Artificial Intelligence: An Agenda,2019,macro,NBER,https://www.nber.org/papers/w24928,Foundational framing for AI economics research,General-purpose technologies diffuse slower than hype cycles imply
Beyond AI Exposure: Which Tasks Are Actually Automated,2024,labor,OECD,https://www.oecd.org/en/publications/job-task-exposure-to-ai_88f352f1-en.html,Better granularity than job-title-only analysis,Task-level adoption heterogeneity dominates headline averages
Digitalisation and Productivity,2024,measurement,OECD,https://www.oecd.org/en/topics/sub-issues/digitalisation-and-productivity.html,Cross-country measurement perspective,Intangible investment and diffusion lags complicate attribution
Artificial Intelligence and Electricity Demand,2024,energy,NREL,https://www.nrel.gov/docs/fy24osti/88469.pdf,US-focused technical demand modeling,System constraints and local grid buildout can dominate model-inference load assumptions
Assessing Risks from Algorithmic Decision Systems,2023,governance,NIST,https://www.nist.gov/itl/ai-risk-management-framework,Operational risk framing for AI deployment,Risk governance should be integrated into system lifecycle not bolted on post-launch
AI and the Future of Work in the United States,2024,labor,Brookings,https://www.brookings.edu/articles/generative-ai-the-american-worker-and-the-future-of-work/,Accessible synthesis for public-facing briefing,Occupational disruption exposure differs sharply by wage and task composition
The Global AI Vibrancy Tool,2025,ai systems,Stanford HAI,https://hai.stanford.edu/ai-index/global-vibrancy-tool,Country-level context for competition narratives,National AI strength is multidimensional and not captured by one metric
